"","PEP_ID","BBCH","YEAR","DAY","species"
"1",6878,11,2000,77,"syringa vulgaris"
"2",6879,11,2000,85,"syringa vulgaris"
"3",6883,11,2000,91,"syringa vulgaris"
"4",6892,11,2000,93,"syringa vulgaris"
"5",6912,11,2000,93,"syringa vulgaris"
"6",6881,11,2000,94,"syringa vulgaris"
"7",6890,11,2000,94,"syringa vulgaris"
"8",6930,65,2000,95,"syringa vulgaris"
"9",6950,11,2000,96,"syringa vulgaris"
"10",6880,11,2000,98,"syringa vulgaris"
"11",6893,11,2000,98,"syringa vulgaris"
"12",6877,11,2000,99,"syringa vulgaris"
"13",6894,11,2000,99,"syringa vulgaris"
"14",6896,11,2000,99,"syringa vulgaris"
"15",6876,11,2000,100,"syringa vulgaris"
"16",6909,11,2000,100,"syringa vulgaris"
"17",6897,11,2000,101,"syringa vulgaris"
"18",6882,11,2000,102,"syringa vulgaris"
"19",6888,11,2000,104,"syringa vulgaris"
"20",6929,11,2000,104,"syringa vulgaris"
"21",6936,11,2000,104,"syringa vulgaris"
"22",6928,11,2000,105,"syringa vulgaris"
"23",7026,11,2000,105,"syringa vulgaris"
"24",6899,11,2000,106,"syringa vulgaris"
"25",6900,11,2000,106,"syringa vulgaris"
"26",6920,11,2000,106,"syringa vulgaris"
"27",6932,11,2000,106,"syringa vulgaris"
"28",6883,60,2000,106,"syringa vulgaris"
"29",6885,11,2000,107,"syringa vulgaris"
"30",6889,11,2000,107,"syringa vulgaris"
"31",6910,11,2000,107,"syringa vulgaris"
"32",6911,11,2000,107,"syringa vulgaris"
"33",6925,11,2000,107,"syringa vulgaris"
"34",6895,11,2000,108,"syringa vulgaris"
"35",6940,11,2000,108,"syringa vulgaris"
"36",6945,11,2000,108,"syringa vulgaris"
"37",6898,11,2000,109,"syringa vulgaris"
"38",6883,65,2000,109,"syringa vulgaris"
"39",6881,60,2000,110,"syringa vulgaris"
"40",6887,11,2000,111,"syringa vulgaris"
"41",6906,11,2000,111,"syringa vulgaris"
"42",6916,11,2000,111,"syringa vulgaris"
"43",6918,11,2000,111,"syringa vulgaris"
"44",6919,11,2000,111,"syringa vulgaris"
"45",6933,11,2000,111,"syringa vulgaris"
"46",6905,11,2000,112,"syringa vulgaris"
"47",6922,11,2000,112,"syringa vulgaris"
"48",6943,11,2000,112,"syringa vulgaris"
"49",6947,11,2000,112,"syringa vulgaris"
"50",6949,11,2000,112,"syringa vulgaris"
"51",6876,60,2000,112,"syringa vulgaris"
"52",6882,60,2000,112,"syringa vulgaris"
"53",6902,11,2000,113,"syringa vulgaris"
"54",6903,11,2000,113,"syringa vulgaris"
"55",6927,11,2000,113,"syringa vulgaris"
"56",6938,11,2000,113,"syringa vulgaris"
"57",6939,11,2000,113,"syringa vulgaris"
"58",6878,60,2000,113,"syringa vulgaris"
"59",6893,60,2000,113,"syringa vulgaris"
"60",6909,60,2000,113,"syringa vulgaris"
"61",6912,60,2000,113,"syringa vulgaris"
"62",6944,11,2000,114,"syringa vulgaris"
"63",6946,11,2000,114,"syringa vulgaris"
"64",6892,60,2000,114,"syringa vulgaris"
"65",6895,60,2000,114,"syringa vulgaris"
"66",6896,60,2000,114,"syringa vulgaris"
"67",6920,60,2000,114,"syringa vulgaris"
"68",6876,65,2000,114,"syringa vulgaris"
"69",6882,65,2000,114,"syringa vulgaris"
"70",6891,11,2000,115,"syringa vulgaris"
"71",6926,11,2000,115,"syringa vulgaris"
"72",6948,11,2000,115,"syringa vulgaris"
"73",6877,60,2000,115,"syringa vulgaris"
"74",6885,60,2000,115,"syringa vulgaris"
"75",6894,60,2000,115,"syringa vulgaris"
"76",6897,60,2000,115,"syringa vulgaris"
"77",6928,60,2000,115,"syringa vulgaris"
"78",6878,65,2000,115,"syringa vulgaris"
