"","PEP_ID","BBCH","YEAR","DAY","species"
"1",12521,60,1954,102,"betula pendula"
"2",12521,60,1955,118,"betula pendula"
"3",12521,60,1956,109,"betula pendula"
"4",12521,60,1957,94,"betula pendula"
"5",13731,60,1957,95,"betula pendula"
"6",12521,60,1958,119,"betula pendula"
"7",12521,60,1959,118,"betula pendula"
"8",12521,60,1960,105,"betula pendula"
"9",13632,60,1960,107,"betula pendula"
"10",12521,60,1961,74,"betula pendula"
"11",12521,60,1962,119,"betula pendula"
"12",13731,60,1962,123,"betula pendula"
"13",12521,60,1963,112,"betula pendula"
"14",12521,60,1964,129,"betula pendula"
"15",12521,60,1965,109,"betula pendula"
"16",12521,60,1967,106,"betula pendula"
"17",12521,60,1968,118,"betula pendula"
"18",12521,60,1969,123,"betula pendula"
"19",12521,60,1970,112,"betula pendula"
"20",17769,11,1972,94,"betula pendula"
"21",12521,60,1972,98,"betula pendula"
"22",12521,60,1973,114,"betula pendula"
"23",12521,60,1974,100,"betula pendula"
"24",12521,60,1975,108,"betula pendula"
"25",12521,60,1976,98,"betula pendula"
"26",12521,60,1977,103,"betula pendula"
"27",12521,60,1978,130,"betula pendula"
"28",13731,60,1978,134,"betula pendula"
"29",12521,60,1979,111,"betula pendula"
"30",12521,60,1980,103,"betula pendula"
"31",12521,60,1981,97,"betula pendula"
"32",12521,60,1982,98,"betula pendula"
"33",15102,11,1982,120,"betula pendula"
"34",15102,11,1983,114,"betula pendula"
"35",12521,60,1983,115,"betula pendula"
"36",12521,60,1984,112,"betula pendula"
"37",12521,60,1985,100,"betula pendula"
"38",12521,60,1986,122,"betula pendula"
"39",12521,60,1987,107,"betula pendula"
"40",15102,11,1987,116,"betula pendula"
"41",15102,11,1988,95,"betula pendula"
"42",12521,60,1988,108,"betula pendula"
"43",12521,60,1989,92,"betula pendula"
"44",17769,11,1989,103,"betula pendula"
"45",12521,60,1990,77,"betula pendula"
"46",17769,11,1990,91,"betula pendula"
"47",15102,11,1991,90,"betula pendula"
"48",12521,60,1991,100,"betula pendula"
"49",17769,11,1991,102,"betula pendula"
"50",12224,11,1992,83,"betula pendula"
"51",17769,11,1992,94,"betula pendula"
"52",12521,60,1992,110,"betula pendula"
"53",15102,11,1992,115,"betula pendula"
"54",12521,60,1993,83,"betula pendula"
"55",12521,60,1994,95,"betula pendula"
"56",12224,11,1994,96,"betula pendula"
"57",15102,11,1994,107,"betula pendula"
"58",17769,11,1994,119,"betula pendula"
"59",12521,60,1995,98,"betula pendula"
"60",15102,11,1995,99,"betula pendula"
"61",12224,11,1996,111,"betula pendula"
"62",15102,11,1996,112,"betula pendula"
"63",12224,11,1997,75,"betula pendula"
"64",12521,60,1997,82,"betula pendula"
"65",15102,11,1997,117,"betula pendula"
"66",12224,11,1998,92,"betula pendula"
"67",12521,60,1998,111,"betula pendula"
"68",16904,11,1999,62,"betula pendula"
"69",18583,60,1999,64,"betula pendula"
"70",17379,60,1999,70,"betula pendula"
"71",9563,11,1999,72,"betula pendula"
"72",10166,11,1999,76,"betula pendula"
"73",10509,11,1999,76,"betula pendula"
"74",8523,11,1999,80,"betula pendula"
"75",16074,11,1999,80,"betula pendula"
"76",14144,11,1999,81,"betula pendula"
"77",16037,11,1999,81,"betula pendula"
"78",10698,11,1999,83,"betula pendula"
"79",10907,11,1999,84,"betula pendula"
"80",10044,11,1999,85,"betula pendula"
"81",10530,11,1999,85,"betula pendula"
"82",10312,11,1999,88,"betula pendula"
"83",14488,11,1999,88,"betula pendula"
"84",14669,11,1999,88,"betula pendula"
"85",14990,11,1999,88,"betula pendula"
"86",12786,11,1999,89,"betula pendula"
