"","PEP_ID","BBCH","YEAR","DAY","species"
"1",19019,11,1972,113,"fagus sylvatica"
"2",17769,11,1972,115,"fagus sylvatica"
"3",19019,11,1973,118,"fagus sylvatica"
"4",19019,11,1974,106,"fagus sylvatica"
"5",19019,11,1976,109,"fagus sylvatica"
"6",19019,11,1977,118,"fagus sylvatica"
"7",19019,11,1979,128,"fagus sylvatica"
"8",19019,11,1980,113,"fagus sylvatica"
"9",9232,11,1980,123,"fagus sylvatica"
"10",19019,11,1981,106,"fagus sylvatica"
"11",9232,11,1981,132,"fagus sylvatica"
"12",15102,11,1981,133,"fagus sylvatica"
"13",19019,11,1982,110,"fagus sylvatica"
"14",9232,11,1982,121,"fagus sylvatica"
"15",19019,11,1983,116,"fagus sylvatica"
"16",9232,11,1983,121,"fagus sylvatica"
"17",15102,11,1983,124,"fagus sylvatica"
"18",19019,11,1984,115,"fagus sylvatica"
"19",9232,11,1984,118,"fagus sylvatica"
"20",19019,11,1985,117,"fagus sylvatica"
"21",9232,11,1985,129,"fagus sylvatica"
"22",15102,11,1985,130,"fagus sylvatica"
"23",9232,11,1986,124,"fagus sylvatica"
"24",19019,11,1986,126,"fagus sylvatica"
"25",15102,11,1986,133,"fagus sylvatica"
"26",9232,11,1987,117,"fagus sylvatica"
"27",19019,11,1988,115,"fagus sylvatica"
"28",9232,11,1988,116,"fagus sylvatica"
"29",15102,11,1988,125,"fagus sylvatica"
"30",14433,94,1988,284,"fagus sylvatica"
"31",17769,11,1989,122,"fagus sylvatica"
"32",9232,11,1989,123,"fagus sylvatica"
"33",12465,11,1989,130,"fagus sylvatica"
"34",19019,11,1990,112,"fagus sylvatica"
"35",9232,11,1990,120,"fagus sylvatica"
"36",17769,11,1991,116,"fagus sylvatica"
"37",9232,11,1991,128,"fagus sylvatica"
"38",15102,11,1992,115,"fagus sylvatica"
"39",9232,11,1992,124,"fagus sylvatica"
"40",19019,11,1993,107,"fagus sylvatica"
"41",15102,11,1993,108,"fagus sylvatica"
"42",9232,11,1993,118,"fagus sylvatica"
"43",12224,97,1993,316,"fagus sylvatica"
"44",12224,11,1994,106,"fagus sylvatica"
"45",9232,11,1994,118,"fagus sylvatica"
"46",12909,94,1994,295,"fagus sylvatica"
"47",9232,11,1995,115,"fagus sylvatica"
"48",12224,11,1996,110,"fagus sylvatica"
"49",19019,11,1996,115,"fagus sylvatica"
"50",15102,11,1996,119,"fagus sylvatica"
"51",9232,11,1996,120,"fagus sylvatica"
"52",12224,86,1996,191,"fagus sylvatica"
"53",12224,97,1996,277,"fagus sylvatica"
"54",19019,11,1997,106,"fagus sylvatica"
"55",15102,11,1997,112,"fagus sylvatica"
"56",9232,11,1997,117,"fagus sylvatica"
"57",12224,86,1997,153,"fagus sylvatica"
"58",12224,11,1998,114,"fagus sylvatica"
"59",9232,11,1998,122,"fagus sylvatica"
"60",12224,86,1998,203,"fagus sylvatica"
"61",11132,94,1998,305,"fagus sylvatica"
"62",11132,97,1998,336,"fagus sylvatica"
"63",9766,11,1999,80,"fagus sylvatica"
"64",13126,11,1999,81,"fagus sylvatica"
"65",10044,11,1999,85,"fagus sylvatica"
"66",10517,11,1999,85,"fagus sylvatica"
"67",14145,11,1999,88,"fagus sylvatica"
"68",10530,11,1999,89,"fagus sylvatica"
"69",16322,11,1999,90,"fagus sylvatica"
"70",10698,11,1999,91,"fagus sylvatica"
"71",14925,11,1999,93,"fagus sylvatica"
"72",17379,11,1999,93,"fagus sylvatica"
"73",18099,11,1999,95,"fagus sylvatica"
"74",14689,11,1999,96,"fagus sylvatica"
"75",12200,11,1999,97,"fagus sylvatica"
"76",13319,11,1999,98,"fagus sylvatica"
"77",15883,11,1999,98,"fagus sylvatica"
"78",14424,11,1999,99,"fagus sylvatica"
"79",19066,11,1999,99,"fagus sylvatica"
"80",8720,11,1999,100,"fagus sylvatica"
"81",13800,11,1999,100,"fagus sylvatica"
"82",18087,11,1999,100,"fagus sylvatica"
"83",10907,11,1999,101,"fagus sylvatica"
"84",12415,11,1999,101,"fagus sylvatica"
