"","PEP_ID","BBCH","YEAR","DAY","species"
"1",13731,60,1952,135,"syringa vulgaris"
"2",10089,60,1953,123,"syringa vulgaris"
"3",10089,60,1956,96,"syringa vulgaris"
"4",13731,60,1956,194,"syringa vulgaris"
"5",10089,60,1957,128,"syringa vulgaris"
"6",10089,60,1958,120,"syringa vulgaris"
"7",10089,60,1959,113,"syringa vulgaris"
"8",13731,60,1959,176,"syringa vulgaris"
"9",13731,60,1960,131,"syringa vulgaris"
"10",13731,60,1961,114,"syringa vulgaris"
"11",13731,60,1965,141,"syringa vulgaris"
"12",14992,60,1973,140,"syringa vulgaris"
"13",14992,60,1974,145,"syringa vulgaris"
"14",14992,60,1976,141,"syringa vulgaris"
"15",15333,60,1980,128,"syringa vulgaris"
"16",14992,60,1980,144,"syringa vulgaris"
"17",15333,60,1981,126,"syringa vulgaris"
"18",14992,60,1983,149,"syringa vulgaris"
"19",14992,60,1984,155,"syringa vulgaris"
"20",9232,60,1985,127,"syringa vulgaris"
"21",9232,60,1986,139,"syringa vulgaris"
"22",15333,60,1986,148,"syringa vulgaris"
"23",14992,60,1986,149,"syringa vulgaris"
"24",9232,60,1987,130,"syringa vulgaris"
"25",14992,60,1988,131,"syringa vulgaris"
"26",9232,60,1988,133,"syringa vulgaris"
"27",15333,60,1988,134,"syringa vulgaris"
"28",9232,60,1989,126,"syringa vulgaris"
"29",9232,60,1990,126,"syringa vulgaris"
"30",14992,60,1991,129,"syringa vulgaris"
"31",9232,60,1991,136,"syringa vulgaris"
"32",9232,60,1992,131,"syringa vulgaris"
"33",9232,60,1993,123,"syringa vulgaris"
"34",9232,60,1994,123,"syringa vulgaris"
"35",12465,60,1995,126,"syringa vulgaris"
"36",9232,60,1995,129,"syringa vulgaris"
"37",9232,60,1996,144,"syringa vulgaris"
"38",9232,60,1997,128,"syringa vulgaris"
"39",14578,60,1998,95,"syringa vulgaris"
"40",10563,60,1998,96,"syringa vulgaris"
"41",14145,60,1998,98,"syringa vulgaris"
"42",13400,60,1998,100,"syringa vulgaris"
"43",14689,60,1998,101,"syringa vulgaris"
"44",14632,60,1998,103,"syringa vulgaris"
"45",16324,60,1998,103,"syringa vulgaris"
"46",14424,60,1998,106,"syringa vulgaris"
"47",11132,60,1998,107,"syringa vulgaris"
"48",14763,60,1998,111,"syringa vulgaris"
"49",10667,60,1998,112,"syringa vulgaris"
"50",13866,60,1998,112,"syringa vulgaris"
"51",8560,60,1998,113,"syringa vulgaris"
"52",14263,60,1998,113,"syringa vulgaris"
"53",14376,60,1998,113,"syringa vulgaris"
"54",14669,60,1998,113,"syringa vulgaris"
"55",15892,60,1998,113,"syringa vulgaris"
"56",9858,60,1998,114,"syringa vulgaris"
"57",14704,60,1998,114,"syringa vulgaris"
"58",15118,60,1998,114,"syringa vulgaris"
"59",13912,60,1998,115,"syringa vulgaris"
"60",14749,60,1998,116,"syringa vulgaris"
"61",10604,60,1998,117,"syringa vulgaris"
"62",14443,60,1998,117,"syringa vulgaris"
"63",11490,60,1998,118,"syringa vulgaris"
"64",14028,60,1998,120,"syringa vulgaris"
"65",10434,60,1998,121,"syringa vulgaris"
"66",14670,60,1998,121,"syringa vulgaris"
"67",9232,60,1998,124,"syringa vulgaris"
"68",16093,60,1998,124,"syringa vulgaris"
"69",12786,60,1998,126,"syringa vulgaris"
"70",16074,60,1998,126,"syringa vulgaris"
"71",10285,60,1998,127,"syringa vulgaris"
"72",16449,60,1998,127,"syringa vulgaris"
"73",14750,60,1998,130,"syringa vulgaris"
"74",16326,60,1998,130,"syringa vulgaris"
"75",16378,60,1998,131,"syringa vulgaris"
"76",8335,60,1998,134,"syringa vulgaris"
"77",10233,60,1998,134,"syringa vulgaris"
"78",14849,60,1998,134,"syringa vulgaris"
"79",19082,60,1998,134,"syringa vulgaris"
"80",18035,60,1998,137,"syringa vulgaris"
"81",14586,60,1998,141,"syringa vulgaris"
"82",14990,60,1998,141,"syringa vulgaris"
"83",11536,60,1998,148,"syringa vulgaris"
"84",12643,60,1998,148,"syringa vulgaris"
"85",18731,60,1998,148,"syringa vulgaris"
"86",9766,60,1999,72,"syringa vulgaris"
"87",14145,60,1999,82,"syringa vulgaris"
"88",8358,60,1999,91,"syringa vulgaris"
"89",18583,60,1999,91,"syringa vulgaris"
"90",8950,60,1999,92,"syringa vulgaris"
"91",9702,60,1999,98,"syringa vulgaris"
"92",10509,60,1999,98,"syringa vulgaris"
"93",15118,60,1999,100,"syringa vulgaris"
"94",11132,60,1999,101,"syringa vulgaris"
"95",14669,60,1999,101,"syringa vulgaris"
"96",13912,60,1999,102,"syringa vulgaris"
"97",17603,60,1999,102,"syringa vulgaris"
"98",8662,60,1999,103,"syringa vulgaris"
"99",10312,60,1999,103,"syringa vulgaris"
"100",9930,60,1999,104,"syringa vulgaris"
"101",13071,60,1999,104,"syringa vulgaris"
"102",14233,60,1999,105,"syringa vulgaris"
"103",15883,60,1999,105,"syringa vulgaris"
"104",8720,60,1999,106,"syringa vulgaris"
"105",10166,60,1999,106,"syringa vulgaris"
"106",10604,60,1999,106,"syringa vulgaris"
"107",10770,60,1999,106,"syringa vulgaris"
"108",14362,60,1999,106,"syringa vulgaris"
"109",14390,60,1999,106,"syringa vulgaris"
"110",17379,60,1999,106,"syringa vulgaris"
"111",10044,60,1999,107,"syringa vulgaris"
"112",11126,60,1999,107,"syringa vulgaris"
"113",12692,60,1999,107,"syringa vulgaris"
"114",13888,60,1999,107,"syringa vulgaris"
"115",16924,60,1999,107,"syringa vulgaris"
"116",8645,60,1999,108,"syringa vulgaris"
"117",10468,60,1999,108,"syringa vulgaris"
"118",14190,60,1999,108,"syringa vulgaris"
"119",14691,60,1999,108,"syringa vulgaris"
"120",14443,60,1999,109,"syringa vulgaris"
"121",14899,60,1999,109,"syringa vulgaris"
"122",14990,60,1999,109,"syringa vulgaris"
"123",15981,60,1999,109,"syringa vulgaris"
"124",13934,60,1999,110,"syringa vulgaris"
"125",14542,60,1999,110,"syringa vulgaris"
"126",15462,60,1999,110,"syringa vulgaris"
"127",10298,60,1999,111,"syringa vulgaris"
"128",10530,60,1999,111,"syringa vulgaris"
"129",13813,60,1999,111,"syringa vulgaris"
"130",8955,60,1999,112,"syringa vulgaris"
"131",9237,60,1999,112,"syringa vulgaris"
"132",12455,60,1999,112,"syringa vulgaris"
"133",9575,60,1999,113,"syringa vulgaris"
"134",14078,60,1999,113,"syringa vulgaris"
"135",14689,60,1999,113,"syringa vulgaris"
"136",14704,60,1999,113,"syringa vulgaris"
"137",15208,60,1999,113,"syringa vulgaris"
"138",8547,60,1999,114,"syringa vulgaris"
"139",16524,60,1999,114,"syringa vulgaris"
"140",10563,60,1999,115,"syringa vulgaris"
"141",11691,60,1999,115,"syringa vulgaris"
"142",12953,60,1999,115,"syringa vulgaris"
"143",13950,60,1999,115,"syringa vulgaris"
"144",10517,60,1999,116,"syringa vulgaris"
"145",13724,60,1999,116,"syringa vulgaris"
"146",17420,60,1999,116,"syringa vulgaris"
"147",12895,60,1999,117,"syringa vulgaris"
"148",13503,60,1999,117,"syringa vulgaris"
"149",13800,60,1999,117,"syringa vulgaris"
"150",12786,60,1999,118,"syringa vulgaris"
"151",15289,60,1999,118,"syringa vulgaris"
"152",17554,60,1999,118,"syringa vulgaris"
"153",18793,60,1999,118,"syringa vulgaris"
"154",11459,60,1999,119,"syringa vulgaris"
"155",15605,60,1999,119,"syringa vulgaris"
"156",10821,60,1999,121,"syringa vulgaris"
"157",13266,60,1999,121,"syringa vulgaris"
"158",14925,60,1999,121,"syringa vulgaris"
"159",14668,60,1999,122,"syringa vulgaris"
"160",16074,60,1999,122,"syringa vulgaris"
"161",14251,60,1999,124,"syringa vulgaris"
"162",16137,60,1999,124,"syringa vulgaris"
"163",16569,60,1999,124,"syringa vulgaris"
"164",18648,60,1999,125,"syringa vulgaris"
"165",9232,60,1999,126,"syringa vulgaris"
"166",13774,60,1999,127,"syringa vulgaris"
"167",18022,60,1999,127,"syringa vulgaris"
"168",19198,60,1999,127,"syringa vulgaris"
"169",17571,60,1999,129,"syringa vulgaris"
"170",16183,60,1999,131,"syringa vulgaris"
"171",10434,60,1999,132,"syringa vulgaris"
"172",17830,60,1999,132,"syringa vulgaris"
"173",18544,60,1999,135,"syringa vulgaris"
"174",18657,60,1999,135,"syringa vulgaris"
"175",18592,60,1999,136,"syringa vulgaris"
"176",8912,60,1999,141,"syringa vulgaris"
"177",18919,60,1999,142,"syringa vulgaris"
"178",19263,60,1999,160,"syringa vulgaris"
"179",18583,60,2000,89,"syringa vulgaris"
"180",14710,60,2000,93,"syringa vulgaris"
"181",15034,60,2000,93,"syringa vulgaris"
