year,plot,species,date,doy,floralcount,cumsum
1974,INT1,Achillea millefolium,30/07/74,211,1,1
1974,INT1,Achillea millefolium,1/08/74,213,1,2
1974,INT1,Achillea millefolium,3/08/74,215,1,3
1974,INT1,Achillea millefolium,7/08/74,219,2,5
1974,INT1,Achillea millefolium,11/08/74,223,2,7
1974,INT1,Achillea millefolium,13/08/74,225,2,9
1974,INT1,Achillea millefolium,15/08/74,227,2,11
1974,INT1,Achillea millefolium,17/08/74,229,2,13
1974,INT1,Achillea millefolium,19/08/74,231,2,15
1974,INT1,Achillea millefolium,21/08/74,233,2,17
1974,INT1,Achillea millefolium,23/08/74,235,2,19
1974,INT1,Achillea millefolium,25/08/74,237,2,21
1974,INT1,Achillea millefolium,27/08/74,239,2,23
1974,INT1,Achillea millefolium,29/08/74,241,2,25
1974,INT1,Achillea millefolium,1/09/74,244,2,27
1974,INT1,Achillea millefolium,4/09/74,247,2,29
1974,INT3,Achillea millefolium,27/07/74,208,1,1
1974,INT3,Achillea millefolium,17/08/74,229,1,2
1974,INT3,Achillea millefolium,19/08/74,231,1,3
1974,INT3,Achillea millefolium,21/08/74,233,1,4
1974,INT4,Achillea millefolium,27/07/74,208,5,5
1974,WM1,Achillea millefolium,20/07/74,201,1,1
1974,WM1,Achillea millefolium,22/07/74,203,3,4
1974,WM1,Achillea millefolium,25/07/74,206,1,5
1974,WM1,Achillea millefolium,27/07/74,208,2,7
1974,WM1,Achillea millefolium,30/07/74,211,1,8
1974,WM1,Achillea millefolium,1/08/74,213,5,13
1974,WM1,Achillea millefolium,3/08/74,215,9,22
1974,WM1,Achillea millefolium,7/08/74,219,6,28
1974,WM1,Achillea millefolium,11/08/74,223,4,32
1974,WM1,Achillea millefolium,13/08/74,225,4,36
1974,WM1,Achillea millefolium,15/08/74,227,8,44
1974,WM1,Achillea millefolium,17/08/74,229,8,52
1974,WM1,Achillea millefolium,19/08/74,231,8,60
1974,WM1,Achillea millefolium,21/08/74,233,6,66
1974,WM1,Achillea millefolium,23/08/74,235,6,72
1974,WM1,Achillea millefolium,25/08/74,237,6,78
1974,WM1,Achillea millefolium,27/08/74,239,5,83
1974,WM1,Achillea millefolium,29/08/74,241,3,86
1974,WM1,Achillea millefolium,1/09/74,244,3,89
1974,WM1,Achillea millefolium,4/09/74,247,1,90
1974,WM2,Achillea millefolium,12/07/74,193,1,1
1974,WM2,Achillea millefolium,14/07/74,195,1,2
1974,WM2,Achillea millefolium,16/07/74,197,4,6
1974,WM2,Achillea millefolium,20/07/74,201,11,17
1974,WM2,Achillea millefolium,22/07/74,203,17,34
1974,WM2,Achillea millefolium,25/07/74,206,17,51
1974,WM2,Achillea millefolium,27/07/74,208,20,71
1974,WM2,Achillea millefolium,30/07/74,211,24,95
1974,WM2,Achillea millefolium,1/08/74,213,26,121
1974,WM2,Achillea millefolium,3/08/74,215,24,145
1974,WM2,Achillea millefolium,7/08/74,219,24,169
1974,WM2,Achillea millefolium,11/08/74,223,26,195
1974,WM2,Achillea millefolium,13/08/74,225,31,226
1974,WM2,Achillea millefolium,15/08/74,227,29,255
1974,WM2,Achillea millefolium,17/08/74,229,25,280
1974,WM2,Achillea millefolium,19/08/74,231,25,305
1974,WM2,Achillea millefolium,21/08/74,233,26,331
1974,WM2,Achillea millefolium,23/08/74,235,22,353
1974,WM2,Achillea millefolium,25/08/74,237,23,376
1974,WM2,Achillea millefolium,27/08/74,239,21,397
1974,WM2,Achillea millefolium,29/08/74,241,20,417
1974,WM2,Achillea millefolium,1/09/74,244,17,434
1974,WM2,Achillea millefolium,4/09/74,247,1,435
1974,WM3,Achillea millefolium,14/07/74,195,1,1
1974,WM3,Achillea millefolium,16/07/74,197,1,2
1974,WM3,Achillea millefolium,25/07/74,206,1,3
1974,WM3,Achillea millefolium,3/08/74,215,1,4
1974,WM4,Achillea millefolium,22/07/74,203,3,3
1974,WM4,Achillea millefolium,25/07/74,206,3,6
1974,WM4,Achillea millefolium,27/07/74,208,4,10
1974,WM4,Achillea millefolium,30/07/74,211,11,21
1974,WM4,Achillea millefolium,1/08/74,213,14,35
1974,WM4,Achillea millefolium,3/08/74,215,14,49
1974,WM4,Achillea millefolium,7/08/74,219,9,58
1974,WM4,Achillea millefolium,11/08/74,223,9,67
1974,WM4,Achillea millefolium,13/08/74,225,17,84
1974,WM4,Achillea millefolium,15/08/74,227,12,96
1974,WM4,Achillea millefolium,17/08/74,229,10,106
1974,WM4,Achillea millefolium,19/08/74,231,11,117
1974,WM4,Achillea millefolium,21/08/74,233,13,130
1974,WM4,Achillea millefolium,23/08/74,235,8,138
1974,WM4,Achillea millefolium,25/08/74,237,8,146
1974,WM4,Achillea millefolium,27/08/74,239,9,155
1974,WM4,Achillea millefolium,29/08/74,241,6,161
1974,WM4,Achillea millefolium,1/09/74,244,4,165
1974,WM4,Achillea millefolium,4/09/74,247,1,166
1974,WM5,Achillea millefolium,27/07/74,208,1,1
1974,WM5,Achillea millefolium,30/07/74,211,3,4
1974,WM5,Achillea millefolium,1/08/74,213,2,6
1974,WM5,Achillea millefolium,3/08/74,215,4,10
1974,WM5,Achillea millefolium,7/08/74,219,3,13
1974,WM5,Achillea millefolium,11/08/74,223,3,16
1974,WM5,Achillea millefolium,13/08/74,225,4,20
1974,WM5,Achillea millefolium,15/08/74,227,3,23
1974,WM5,Achillea millefolium,17/08/74,229,5,28
1974,WM5,Achillea millefolium,19/08/74,231,4,32
1974,WM5,Achillea millefolium,21/08/74,233,4,36
1974,WM5,Achillea millefolium,23/08/74,235,4,40
1974,WM5,Achillea millefolium,25/08/74,237,4,44
1974,WM5,Achillea millefolium,27/08/74,239,4,48
1974,WM5,Achillea millefolium,29/08/74,241,4,52
1974,WM5,Achillea millefolium,1/09/74,244,4,56
1975,EM1,Achillea millefolium,12/08/75,224,1,1
1975,EM1,Achillea millefolium,16/08/75,228,1,2
1975,EM1,Achillea millefolium,19/08/75,231,1,3
1975,EM1,Achillea millefolium,22/08/75,234,1,4
1975,EM1,Achillea millefolium,24/08/75,236,1,5
1975,EM1,Achillea millefolium,28/08/75,240,1,6
1975,EM1,Achillea millefolium,31/08/75,243,1,7
1975,EM1,Achillea millefolium,3/09/75,246,1,8
1975,EM1,Achillea millefolium,6/09/75,249,1,9
1975,EM1,Achillea millefolium,8/09/75,251,1,10
1975,INT1,Achillea millefolium,3/08/75,215,2,2
1975,INT1,Achillea millefolium,6/08/75,218,2,4
1975,INT1,Achillea millefolium,9/08/75,221,2,6
1975,INT1,Achillea millefolium,12/08/75,224,2,8
1975,INT1,Achillea millefolium,16/08/75,228,2,10
1975,INT1,Achillea millefolium,19/08/75,231,2,12
1975,INT1,Achillea millefolium,22/08/75,234,2,14
1975,INT1,Achillea millefolium,24/08/75,236,2,16
1975,INT1,Achillea millefolium,28/08/75,240,2,18
1975,INT1,Achillea millefolium,31/08/75,243,2,20
1975,INT1,Achillea millefolium,3/09/75,246,2,22
1975,INT1,Achillea millefolium,6/09/75,249,2,24
1975,INT1,Achillea millefolium,8/09/75,251,2,26
1975,WM1,Achillea millefolium,3/08/75,215,1,1
1975,WM1,Achillea millefolium,6/08/75,218,2,3
1975,WM1,Achillea millefolium,9/08/75,221,2,5
1975,WM1,Achillea millefolium,12/08/75,224,5,10
1975,WM1,Achillea millefolium,16/08/75,228,4,14
1975,WM1,Achillea millefolium,19/08/75,231,4,18
1975,WM1,Achillea millefolium,22/08/75,234,4,22
1975,WM1,Achillea millefolium,24/08/75,236,6,28
1975,WM1,Achillea millefolium,28/08/75,240,6,34
1975,WM1,Achillea millefolium,31/08/75,243,6,40
1975,WM1,Achillea millefolium,3/09/75,246,6,46
1975,WM1,Achillea millefolium,6/09/75,249,3,49
1975,WM1,Achillea millefolium,8/09/75,251,3,52
1975,WM2,Achillea millefolium,30/07/75,211,1,1
1975,WM2,Achillea millefolium,3/08/75,215,4,5
1975,WM2,Achillea millefolium,6/08/75,218,5,10
1975,WM2,Achillea millefolium,9/08/75,221,6,16
1975,WM2,Achillea millefolium,12/08/75,224,11,27
1975,WM2,Achillea millefolium,16/08/75,228,9,36
1975,WM2,Achillea millefolium,19/08/75,231,9,45
1975,WM2,Achillea millefolium,22/08/75,234,17,62
1975,WM2,Achillea millefolium,24/08/75,236,16,78
1975,WM2,Achillea millefolium,28/08/75,240,19,97
1975,WM2,Achillea millefolium,31/08/75,243,17,114
1975,WM2,Achillea millefolium,3/09/75,246,16,130
1975,WM2,Achillea millefolium,6/09/75,249,15,145
1975,WM2,Achillea millefolium,8/09/75,251,15,160
1975,WM3,Achillea millefolium,19/08/75,231,1,1
1975,WM4,Achillea millefolium,6/08/75,218,2,2
1975,WM4,Achillea millefolium,9/08/75,221,3,5
1975,WM4,Achillea millefolium,12/08/75,224,4,9
1975,WM4,Achillea millefolium,16/08/75,228,4,13
1975,WM4,Achillea millefolium,19/08/75,231,4,17
1975,WM4,Achillea millefolium,22/08/75,234,6,23
1975,WM4,Achillea millefolium,24/08/75,236,6,29
1975,WM4,Achillea millefolium,28/08/75,240,6,35
1975,WM4,Achillea millefolium,31/08/75,243,8,43
1975,WM4,Achillea millefolium,3/09/75,246,8,51
1975,WM4,Achillea millefolium,6/09/75,249,7,58
1975,WM4,Achillea millefolium,8/09/75,251,7,65
1977,EM1,Achillea millefolium,29/07/77,210,1,1
1977,EM1,Achillea millefolium,3/08/77,215,1,2
1977,EM1,Achillea millefolium,6/08/77,218,1,3
1977,EM1,Achillea millefolium,8/08/77,220,1,4
1977,EM1,Achillea millefolium,14/08/77,226,1,5
1977,EM1,Achillea millefolium,16/08/77,228,1,6
1977,EM1,Achillea millefolium,18/08/77,230,1,7
1977,INT1,Achillea millefolium,13/07/77,194,1,1
1977,INT1,Achillea millefolium,18/07/77,199,1,2
1977,INT1,Achillea millefolium,23/07/77,204,1,3
1977,INT1,Achillea millefolium,26/07/77,207,1,4
1977,INT1,Achillea millefolium,29/07/77,210,1,5
1977,INT1,Achillea millefolium,3/08/77,215,1,6
1977,INT1,Achillea millefolium,6/08/77,218,1,7
1977,INT1,Achillea millefolium,8/08/77,220,1,8
1977,INT1,Achillea millefolium,14/08/77,226,1,9
1977,INT1,Achillea millefolium,16/08/77,228,1,10
1977,INT1,Achillea millefolium,18/08/77,230,1,11
1977,INT3,Achillea millefolium,6/07/77,187,2,2
1977,INT3,Achillea millefolium,8/07/77,189,2,4
1977,INT3,Achillea millefolium,11/07/77,192,3,7
1977,INT3,Achillea millefolium,13/07/77,194,1,8
1977,INT3,Achillea millefolium,18/07/77,199,3,11
1977,INT3,Achillea millefolium,23/07/77,204,4,15
1977,INT3,Achillea millefolium,26/07/77,207,4,19
1977,INT3,Achillea millefolium,29/07/77,210,4,23
1977,INT3,Achillea millefolium,3/08/77,215,4,27
1977,INT3,Achillea millefolium,6/08/77,218,4,31
1977,INT3,Achillea millefolium,8/08/77,220,4,35
1977,INT3,Achillea millefolium,14/08/77,226,4,39
1977,INT3,Achillea millefolium,16/08/77,228,4,43
1977,INT3,Achillea millefolium,18/08/77,230,4,47
1977,INT4,Achillea millefolium,18/07/77,199,2,2
1977,INT4,Achillea millefolium,23/07/77,204,2,4
1977,INT4,Achillea millefolium,26/07/77,207,2,6
1977,INT4,Achillea millefolium,29/07/77,210,2,8
1977,INT4,Achillea millefolium,3/08/77,215,1,9
1977,INT4,Achillea millefolium,6/08/77,218,1,10
1977,INT4,Achillea millefolium,8/08/77,220,1,11
1977,INT4,Achillea millefolium,14/08/77,226,1,12
1977,INT4,Achillea millefolium,16/08/77,228,1,13
1977,WM1,Achillea millefolium,23/07/77,204,1,1
1977,WM1,Achillea millefolium,26/07/77,207,1,2
1977,WM1,Achillea millefolium,29/07/77,210,1,3
1977,WM1,Achillea millefolium,3/08/77,215,3,6
1977,WM1,Achillea millefolium,6/08/77,218,4,10
1977,WM1,Achillea millefolium,8/08/77,220,4,14
1977,WM1,Achillea millefolium,14/08/77,226,3,17
1977,WM1,Achillea millefolium,16/08/77,228,3,20
1977,WM1,Achillea millefolium,18/08/77,230,3,23
1977,WM2,Achillea millefolium,6/07/77,187,5,5
1977,WM2,Achillea millefolium,8/07/77,189,6,11
1977,WM2,Achillea millefolium,11/07/77,192,6,17
1977,WM2,Achillea millefolium,13/07/77,194,7,24
1977,WM2,Achillea millefolium,18/07/77,199,7,31
1977,WM2,Achillea millefolium,23/07/77,204,8,39
1977,WM2,Achillea millefolium,26/07/77,207,7,46
1977,WM2,Achillea millefolium,29/07/77,210,5,51
1977,WM2,Achillea millefolium,3/08/77,215,5,56
1977,WM2,Achillea millefolium,6/08/77,218,6,62
1977,WM2,Achillea millefolium,8/08/77,220,4,66
1977,WM2,Achillea millefolium,14/08/77,226,5,71
1977,WM2,Achillea millefolium,16/08/77,228,4,75
1977,WM2,Achillea millefolium,18/08/77,230,5,80
1977,WM3,Achillea millefolium,6/07/77,187,1,1
1977,WM3,Achillea millefolium,8/07/77,189,1,2
1977,WM3,Achillea millefolium,11/07/77,192,1,3
1977,WM3,Achillea millefolium,13/07/77,194,1,4
1977,WM3,Achillea millefolium,18/07/77,199,1,5
1977,WM3,Achillea millefolium,23/07/77,204,1,6
1977,WM3,Achillea millefolium,26/07/77,207,1,7
1977,WM3,Achillea millefolium,29/07/77,210,1,8
1977,WM3,Achillea millefolium,3/08/77,215,1,9
1977,WM4,Achillea millefolium,6/07/77,187,2,2
1977,WM4,Achillea millefolium,8/07/77,189,2,4
1977,WM4,Achillea millefolium,11/07/77,192,2,6
1977,WM4,Achillea millefolium,13/07/77,194,2,8
1977,WM4,Achillea millefolium,18/07/77,199,8,16
1977,WM4,Achillea millefolium,23/07/77,204,10,26
1977,WM4,Achillea millefolium,26/07/77,207,10,36
