species,year,doy
achillea millefolium,1974,211
achillea millefolium,1974,213
achillea millefolium,1974,215
achillea millefolium,1974,219
achillea millefolium,1974,223
achillea millefolium,1974,225
achillea millefolium,1974,227
achillea millefolium,1974,229
achillea millefolium,1974,231
achillea millefolium,1974,233
achillea millefolium,1974,235
achillea millefolium,1974,237
achillea millefolium,1974,239
achillea millefolium,1974,241
achillea millefolium,1974,244
achillea millefolium,1974,247
achillea millefolium,1974,208
achillea millefolium,1974,229
achillea millefolium,1974,231
achillea millefolium,1974,233
achillea millefolium,1974,208
achillea millefolium,1974,201
achillea millefolium,1974,203
achillea millefolium,1974,206
achillea millefolium,1974,208
achillea millefolium,1974,211
achillea millefolium,1974,213
achillea millefolium,1974,215
achillea millefolium,1974,219
achillea millefolium,1974,223
achillea millefolium,1974,225
achillea millefolium,1974,227
achillea millefolium,1974,229
achillea millefolium,1974,231
achillea millefolium,1974,233
achillea millefolium,1974,235
achillea millefolium,1974,237
achillea millefolium,1974,239
achillea millefolium,1974,241
achillea millefolium,1974,244
achillea millefolium,1974,247
achillea millefolium,1974,193
achillea millefolium,1974,195
achillea millefolium,1974,197
achillea millefolium,1974,201
achillea millefolium,1974,203
achillea millefolium,1974,206
achillea millefolium,1974,208
achillea millefolium,1974,211
achillea millefolium,1974,213
achillea millefolium,1974,215
achillea millefolium,1974,219
achillea millefolium,1974,223
achillea millefolium,1974,225
achillea millefolium,1974,227
achillea millefolium,1974,229
achillea millefolium,1974,231
achillea millefolium,1974,233
achillea millefolium,1974,235
achillea millefolium,1974,237
achillea millefolium,1974,239
achillea millefolium,1974,241
achillea millefolium,1974,244
achillea millefolium,1974,247
achillea millefolium,1974,195
achillea millefolium,1974,197
achillea millefolium,1974,206
achillea millefolium,1974,215
achillea millefolium,1974,203
achillea millefolium,1974,206
achillea millefolium,1974,208
achillea millefolium,1974,211
achillea millefolium,1974,213
achillea millefolium,1974,215
achillea millefolium,1974,219
achillea millefolium,1974,223
achillea millefolium,1974,225
achillea millefolium,1974,227
achillea millefolium,1974,229
achillea millefolium,1974,231
achillea millefolium,1974,233
achillea millefolium,1974,235
achillea millefolium,1974,237
achillea millefolium,1974,239
achillea millefolium,1974,241
achillea millefolium,1974,244
achillea millefolium,1974,247
achillea millefolium,1974,208
achillea millefolium,1974,211
achillea millefolium,1974,213
achillea millefolium,1974,215
achillea millefolium,1974,219
achillea millefolium,1974,223
achillea millefolium,1974,225
achillea millefolium,1974,227
achillea millefolium,1974,229
achillea millefolium,1974,231
achillea millefolium,1974,233
achillea millefolium,1974,235
achillea millefolium,1974,237
achillea millefolium,1974,239
achillea millefolium,1974,241
achillea millefolium,1974,244
achillea millefolium,1975,224
achillea millefolium,1975,228
achillea millefolium,1975,231
achillea millefolium,1975,234
achillea millefolium,1975,236
achillea millefolium,1975,240
achillea millefolium,1975,243
achillea millefolium,1975,246
achillea millefolium,1975,249
achillea millefolium,1975,251
achillea millefolium,1975,215
achillea millefolium,1975,218
achillea millefolium,1975,221
achillea millefolium,1975,224
achillea millefolium,1975,228
achillea millefolium,1975,231
achillea millefolium,1975,234
achillea millefolium,1975,236
achillea millefolium,1975,240
achillea millefolium,1975,243
achillea millefolium,1975,246
achillea millefolium,1975,249
achillea millefolium,1975,251
achillea millefolium,1975,215
achillea millefolium,1975,218
achillea millefolium,1975,221
achillea millefolium,1975,224
achillea millefolium,1975,228
achillea millefolium,1975,231
achillea millefolium,1975,234
achillea millefolium,1975,236
achillea millefolium,1975,240
achillea millefolium,1975,243
achillea millefolium,1975,246
achillea millefolium,1975,249
achillea millefolium,1975,251
achillea millefolium,1975,211
achillea millefolium,1975,215
achillea millefolium,1975,218
achillea millefolium,1975,221
achillea millefolium,1975,224
achillea millefolium,1975,228
achillea millefolium,1975,231
achillea millefolium,1975,234
achillea millefolium,1975,236
achillea millefolium,1975,240
achillea millefolium,1975,243
achillea millefolium,1975,246
achillea millefolium,1975,249
achillea millefolium,1975,251
achillea millefolium,1975,231
achillea millefolium,1975,218
achillea millefolium,1975,221
achillea millefolium,1975,224
achillea millefolium,1975,228
