LocationID,SpeciesName,SpeciesLatinName,ObservationYear,ObservationDay,ObservationDate,Season,EventName,Easting,Northing,loccounty,locregion
232813,Barren Strawberry,Potentilla sterilis,1950,63,4/03/1950,S,FIrst flowering,620000,237000,Suffolk,
378177,Snowdrop,Galanthus nivalis,1950,42,11/02/1950,S,FIrst flowering,427600,437500,West Yorkshire    ,Yorkshire & Humber
231095,Butterbur,Petasites hybridus,1950,8,8/01/1950,S,FIrst flowering,386000,363000,Cheshire,
231082,Colt's-foot,Tussilago farfara,1950,50,19/02/1950,S,FIrst flowering,383000,398000,Lancashire,
232813,Dog's Mercury,Mercurialis perennis,1950,63,4/03/1950,S,FIrst flowering,620000,237000,Suffolk,
232813,Alder,Alnus glutinosa,1950,63,4/03/1950,S,FIrst flowering,620000,237000,Suffolk,
232813,Primrose,Primula vulgaris,1950,63,4/03/1950,S,FIrst flowering,620000,237000,Suffolk,
33838,Plum,,1950,85,26/03/1950,S,FIrst flowering,518500,158500,Surrey            ,South East
232083,Hazel,Corylus avellana,1950,8,8/01/1950,S,FIrst flowering,471000,173000,Berkshire,
231434,Bluebell,Hyacinthoides non-scripta,1950,111,21/04/1950,S,FIrst flowering,349000,248000,Herefordshire,
232766,Purple Loosestrife,Lythrum salicaria,1950,219,7/08/1950,S,FIrst flowering,600000,244000,Suffolk,East of England
232083,Dog's Mercury,Mercurialis perennis,1950,50,19/02/1950,S,FIrst flowering,471000,173000,Berkshire,
232833,Yellow Archangle,Lamium galeobdolon,1950,140,20/05/1950,S,FIrst flowering,625000,246000,Suffolk,
232083,Elm,Ulmus procera,1950,46,15/02/1950,S,FIrst flowering,471000,173000,Berkshire,
233137,Colt's-foot,Tussilago farfara,1950,41,10/02/1950,S,FIrst flowering,530000,179000,London,London
230534,Hazel,Corylus avellana,1950,43,12/02/1950,S,FIrst flowering,224000,484000,Isle of Man,
233068,Butterbur,Petasites hybridus,1950,359,25/12/1950,S,FIrst flowering,522000,192000,London,London
232998,Butterbur,Petasites hybridus,1950,41,10/02/1950,S,FIrst flowering,514000,188000,London,London
230534,Snowdrop,Galanthus nivalis,1950,7,7/01/1950,S,FIrst flowering,224000,484000,Isle of Man,
231452,Garlic mustard,Alliaria petiolata,1950,21,21/01/1950,S,FIrst flowering,360000,224000,Herefordshire,West Midlands
230534,Wood anemone,Anemone nemorosa,1950,83,24/03/1950,S,FIrst flowering,224000,484000,Isle of Man,
230534,Oxeye daisy,Leucanthemum vulgare,1950,160,9/06/1950,S,FIrst flowering,224000,484000,Isle of Man,
231838,Oxeye daisy,Leucanthemum vulgare,1950,153,2/06/1950,S,FIrst flowering,328000,118000,Somerset,
231838,Wood anemone,Anemone nemorosa,1950,82,23/03/1950,S,FIrst flowering,328000,118000,Somerset,
230534,Dog rose,Rosa canina,1950,158,7/06/1950,S,FIrst flowering,224000,484000,Isle of Man,
