species,year,doy,source
syringa vulgaris,2008,94,us_phen
syringa vulgaris,2008,133,us_phen
syringa vulgaris,2007,139,us_phen
syringa vulgaris,2008,156,us_phen
syringa chinensis,1967,141,us_phen
syringa chinensis,1969,141,us_phen
syringa chinensis,1970,142,us_phen
syringa chinensis,1971,153,us_phen
syringa chinensis,1972,147,us_phen
syringa chinensis,1973,144,us_phen
syringa chinensis,1974,141,us_phen
syringa chinensis,1975,143,us_phen
syringa chinensis,1976,135,us_phen
syringa chinensis,1977,137,us_phen
syringa chinensis,1978,150,us_phen
syringa chinensis,1979,136,us_phen
syringa chinensis,1980,142,us_phen
syringa chinensis,1981,140,us_phen
syringa chinensis,1982,139,us_phen
syringa chinensis,1983,145,us_phen
syringa chinensis,1984,148,us_phen
syringa chinensis,1986,135,us_phen
syringa chinensis,1987,138,us_phen
syringa chinensis,1988,144,us_phen
syringa chinensis,1989,142,us_phen
syringa chinensis,1990,138,us_phen
syringa chinensis,1991,132,us_phen
syringa chinensis,1992,144,us_phen
syringa chinensis,1993,133,us_phen
syringa chinensis,1994,143,us_phen
syringa chinensis,1995,144,us_phen
syringa chinensis,1996,145,us_phen
syringa chinensis,1997,150,us_phen
syringa chinensis,1998,128,us_phen
syringa chinensis,1999,137,us_phen
syringa chinensis,2000,132,us_phen
syringa chinensis,2001,132,us_phen
syringa chinensis,2002,127,us_phen
syringa chinensis,2003,142,us_phen
syringa chinensis,2004,135,us_phen
syringa chinensis,2005,145,us_phen
syringa chinensis,2006,140,us_phen
syringa chinensis,2007,140,us_phen
syringa chinensis,2008,142,us_phen
syringa vulgaris,2007,128,us_phen
syringa vulgaris,2008,134,us_phen
syringa vulgaris,2007,118,us_phen
syringa vulgaris,2008,124,us_phen
syringa vulgaris,2007,116,us_phen
syringa vulgaris,2008,117,us_phen
syringa vulgaris,2007,105,us_phen
syringa vulgaris,2007,122,us_phen
syringa vulgaris,2007,123,us_phen
syringa vulgaris,2008,132,us_phen
syringa vulgaris,2007,125,us_phen
syringa vulgaris,2008,139,us_phen
syringa vulgaris,2007,130,us_phen
syringa vulgaris,2008,146,us_phen
syringa vulgaris,2008,117,us_phen
syringa vulgaris,2007,123,us_phen
syringa vulgaris,2008,123,us_phen
syringa vulgaris,2007,119,us_phen
syringa vulgaris,2007,144,us_phen
syringa chinensis,1965,137,us_phen
syringa chinensis,1966,142,us_phen
syringa chinensis,1967,144,us_phen
syringa chinensis,1968,131,us_phen
syringa chinensis,1969,125,us_phen
syringa chinensis,1970,131,us_phen
syringa chinensis,1971,137,us_phen
syringa chinensis,1972,137,us_phen
syringa chinensis,1973,124,us_phen
syringa chinensis,1975,131,us_phen
syringa chinensis,1977,119,us_phen
syringa chinensis,1978,135,us_phen
syringa chinensis,1979,106,us_phen
syringa chinensis,1980,130,us_phen
syringa chinensis,1982,131,us_phen
syringa chinensis,1983,129,us_phen
syringa chinensis,1984,135,us_phen
syringa chinensis,1986,140,us_phen
syringa chinensis,1971,131,us_phen
syringa chinensis,1972,123,us_phen
syringa chinensis,1974,139,us_phen
syringa chinensis,1981,106,us_phen
syringa chinensis,1982,111,us_phen
syringa chinensis,1983,122,us_phen
syringa chinensis,1984,175,us_phen
syringa chinensis,1986,118,us_phen
syringa chinensis,1965,136,us_phen
syringa chinensis,1966,146,us_phen
syringa chinensis,1967,156,us_phen
syringa chinensis,1968,134,us_phen
syringa chinensis,1969,138,us_phen
syringa chinensis,1970,135,us_phen
syringa chinensis,1971,144,us_phen
syringa chinensis,1972,143,us_phen
syringa chinensis,1973,131,us_phen
syringa chinensis,1974,139,us_phen
syringa chinensis,1975,141,us_phen
syringa chinensis,1976,133,us_phen
syringa chinensis,1977,134,us_phen
syringa chinensis,1979,131,us_phen
syringa chinensis,1980,135,us_phen
syringa chinensis,1981,132,us_phen
syringa chinensis,1982,128,us_phen
syringa chinensis,1984,144,us_phen
syringa chinensis,1986,128,us_phen
syringa chinensis,1987,133,us_phen
syringa chinensis,1988,137,us_phen
syringa chinensis,1971,141,us_phen
syringa chinensis,1972,142,us_phen
syringa chinensis,1973,130,us_phen
syringa chinensis,1974,135,us_phen
syringa chinensis,1975,138,us_phen
syringa chinensis,1976,131,us_phen
syringa chinensis,1977,131,us_phen
syringa chinensis,1978,143,us_phen
syringa chinensis,1979,130,us_phen
syringa chinensis,1980,132,us_phen
syringa chinensis,1981,129,us_phen
syringa chinensis,1982,135,us_phen
syringa chinensis,1983,131,us_phen
syringa chinensis,1984,140,us_phen
syringa chinensis,1985,130,us_phen
syringa chinensis,1986,133,us_phen
syringa chinensis,1987,132,us_phen
syringa chinensis,1988,130,us_phen
syringa chinensis,1989,138,us_phen
syringa chinensis,1990,130,us_phen
syringa chinensis,1991,124,us_phen
syringa chinensis,1992,138,us_phen
syringa chinensis,1993,129,us_phen
syringa chinensis,1994,130,us_phen
syringa chinensis,1995,130,us_phen
syringa chinensis,1996,137,us_phen
syringa chinensis,1970,138,us_phen
syringa chinensis,1971,143,us_phen
syringa chinensis,1972,143,us_phen
syringa chinensis,1973,130,us_phen
syringa chinensis,1974,136,us_phen
syringa chinensis,1975,139,us_phen
syringa chinensis,1976,126,us_phen
syringa chinensis,1978,143,us_phen
syringa chinensis,1979,130,us_phen
syringa chinensis,1980,135,us_phen
syringa chinensis,1981,130,us_phen
syringa chinensis,1982,133,us_phen
syringa chinensis,1983,130,us_phen
syringa chinensis,1984,133,us_phen
syringa chinensis,1986,125,us_phen
syringa chinensis,1967,153,us_phen
syringa chinensis,1968,133,us_phen
syringa chinensis,1969,138,us_phen
syringa chinensis,1971,144,us_phen
syringa chinensis,1973,129,us_phen
syringa chinensis,1974,139,us_phen
syringa chinensis,1975,134,us_phen
syringa chinensis,1976,122,us_phen
syringa chinensis,1977,130,us_phen
syringa chinensis,1978,143,us_phen
syringa chinensis,1979,131,us_phen
syringa chinensis,1980,137,us_phen
syringa chinensis,1981,133,us_phen
syringa chinensis,1982,134,us_phen
syringa chinensis,1983,138,us_phen
syringa chinensis,1984,142,us_phen
syringa chinensis,1986,127,us_phen
syringa chinensis,1965,130,us_phen
syringa chinensis,1966,146,us_phen
syringa chinensis,1967,154,us_phen
syringa chinensis,1968,131,us_phen
syringa chinensis,1969,138,us_phen
syringa chinensis,1970,135,us_phen
syringa chinensis,1971,143,us_phen
syringa chinensis,1972,143,us_phen
syringa chinensis,1973,129,us_phen
syringa chinensis,1974,134,us_phen
syringa chinensis,1975,139,us_phen
syringa chinensis,1977,126,us_phen
syringa chinensis,1978,142,us_phen
syringa chinensis,1979,129,us_phen
syringa chinensis,1980,133,us_phen
syringa chinensis,1981,105,us_phen
syringa chinensis,1982,132,us_phen
syringa chinensis,1983,137,us_phen
syringa chinensis,1984,139,us_phen
syringa chinensis,1986,132,us_phen
syringa chinensis,1972,137,us_phen
syringa chinensis,1973,132,us_phen
syringa chinensis,1975,138,us_phen
syringa chinensis,1976,128,us_phen
syringa chinensis,1977,116,us_phen
syringa chinensis,1980,124,us_phen
syringa chinensis,1981,132,us_phen
syringa chinensis,1982,131,us_phen
