species,year,doy,source
syringa vulgaris,2008,94,USPN
syringa vulgaris,2008,133,USPN
syringa vulgaris,2007,139,USPN
syringa vulgaris,2008,156,USPN
syringa chinensis,1967,141,USPN
syringa chinensis,1969,141,USPN
syringa chinensis,1970,142,USPN
syringa chinensis,1971,153,USPN
syringa chinensis,1972,147,USPN
syringa chinensis,1973,144,USPN
syringa chinensis,1974,141,USPN
syringa chinensis,1975,143,USPN
syringa chinensis,1976,135,USPN
syringa chinensis,1977,137,USPN
syringa chinensis,1978,150,USPN
syringa chinensis,1979,136,USPN
syringa chinensis,1980,142,USPN
syringa chinensis,1981,140,USPN
syringa chinensis,1982,139,USPN
syringa chinensis,1983,145,USPN
syringa chinensis,1984,148,USPN
syringa chinensis,1986,135,USPN
syringa chinensis,1987,138,USPN
syringa chinensis,1988,144,USPN
syringa chinensis,1989,142,USPN
syringa chinensis,1990,138,USPN
syringa chinensis,1991,132,USPN
syringa chinensis,1992,144,USPN
syringa chinensis,1993,133,USPN
syringa chinensis,1994,143,USPN
syringa chinensis,1995,144,USPN
syringa chinensis,1996,145,USPN
syringa chinensis,1997,150,USPN
syringa chinensis,1998,128,USPN
syringa chinensis,1999,137,USPN
syringa chinensis,2000,132,USPN
syringa chinensis,2001,132,USPN
syringa chinensis,2002,127,USPN
syringa chinensis,2003,142,USPN
syringa chinensis,2004,135,USPN
syringa chinensis,2005,145,USPN
syringa chinensis,2006,140,USPN
syringa chinensis,2007,140,USPN
syringa chinensis,2008,142,USPN
syringa vulgaris,2007,128,USPN
syringa vulgaris,2008,134,USPN
syringa vulgaris,2007,118,USPN
syringa vulgaris,2008,124,USPN
syringa vulgaris,2007,116,USPN
syringa vulgaris,2008,117,USPN
syringa vulgaris,2007,105,USPN
syringa vulgaris,2007,122,USPN
syringa vulgaris,2007,123,USPN
syringa vulgaris,2008,132,USPN
syringa vulgaris,2007,125,USPN
syringa vulgaris,2008,139,USPN
syringa vulgaris,2007,130,USPN
syringa vulgaris,2008,146,USPN
syringa vulgaris,2008,117,USPN
syringa vulgaris,2007,123,USPN
syringa vulgaris,2008,123,USPN
syringa vulgaris,2007,119,USPN
syringa vulgaris,2007,144,USPN
syringa chinensis,1965,137,USPN
syringa chinensis,1966,142,USPN
syringa chinensis,1967,144,USPN
syringa chinensis,1968,131,USPN
syringa chinensis,1969,125,USPN
syringa chinensis,1970,131,USPN
syringa chinensis,1971,137,USPN
syringa chinensis,1972,137,USPN
syringa chinensis,1973,124,USPN
syringa chinensis,1975,131,USPN
syringa chinensis,1977,119,USPN
syringa chinensis,1978,135,USPN
syringa chinensis,1979,106,USPN
syringa chinensis,1980,130,USPN
syringa chinensis,1982,131,USPN
syringa chinensis,1983,129,USPN
syringa chinensis,1984,135,USPN
syringa chinensis,1986,140,USPN
syringa chinensis,1971,131,USPN
syringa chinensis,1972,123,USPN
syringa chinensis,1974,139,USPN
syringa chinensis,1981,106,USPN
syringa chinensis,1982,111,USPN
syringa chinensis,1983,122,USPN
syringa chinensis,1984,175,USPN
syringa chinensis,1986,118,USPN
syringa chinensis,1965,136,USPN
syringa chinensis,1966,146,USPN
syringa chinensis,1967,156,USPN
syringa chinensis,1968,134,USPN
syringa chinensis,1969,138,USPN
syringa chinensis,1970,135,USPN
syringa chinensis,1971,144,USPN
syringa chinensis,1972,143,USPN
syringa chinensis,1973,131,USPN
syringa chinensis,1974,139,USPN
syringa chinensis,1975,141,USPN
syringa chinensis,1976,133,USPN
syringa chinensis,1977,134,USPN
syringa chinensis,1979,131,USPN
syringa chinensis,1980,135,USPN
