Individual_ID,Scientific_Name,Plant_Nickname,Patch,Patch_Size,Shade_Status,Wild,Watered,Fertilized,Gender,Planting_Date,Plant_Comments,Plant_Registration_Date,Death_Date_Observed,Last_Date_Observed_Alive,Death_Reason,Death_Comments,Plant_Image_URL,Plant_Image_Upload_Date
1267,Syringa vulgaris,May,,,Mostly sun,0,1,1,,,,,,,,,,
1603,Syringa vulgaris,East Common Lilac,,,Half shade,0,1,0,,--,Moved this lilac to new location on 3/8/11.  Don't know if it will survive.,,,,,,,
1707,Syringa vulgaris,CL2,,,Mostly sun,,1,1,,,Middle tree - possibly 'Congo',,,,,,,
2336,Syringa vulgaris,common lilac-1,,,Mostly sun,0,1,1,,,,,,,,,,
2607,Syringa vulgaris,common lilac-1,,,Mostly shade,0,1,0,,,,,,,,,,
2955,Syringa vulgaris,Rock lilac,,,Full sun,0,1,0,,1990--,transplanted early 90s fm local homestead,,,,,,,
3452,Syringa vulgaris,common lilac by shrub gdn,,,Full sun,,0,0,,,,,,,,,,
3480,Syringa vulgaris,common lilac-East,,,Mostly sun,0,1,1,,,,,,,,,,
3834,Syringa vulgaris,common lilac-1,,,Mostly sun,0,0,1,,,,,,,,,,
3906,Syringa chinensis,Chinese lilac-1,,,Half shade,0,0,0,,,"in good condition, 2nd best lilac we have",,,,,,,
4600,Syringa vulgaris,common lilac-1,,,,,,,,,,,,,,,,
12012,Syringa vulgaris,common lilac-1,,,Full sun,0,0,0,,1987--,,2011-04-23,,,,,,
54427,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55081,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55082,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55083,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55084,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55085,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55086,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55087,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55089,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55090,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55091,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55092,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55093,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55094,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55095,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55096,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55097,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55098,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55099,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55100,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55101,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55102,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55103,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55104,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
55105,Syringa vulgaris,,,,,,,,,,Generated Individual for Lilac data import,2013-11-19,,,,,,
