Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Individual_ID,Phenophase_ID,Phenophase_Description,Observation_Date,Day_of_Year
50,40.459999,-124.190002,638,CA,36,Syringa,vulgaris,common lilac,1707,77,First bloom (historic eastern lilac),3/04/2008,94
50,40.459999,-124.190002,638,CA,36,Syringa,vulgaris,common lilac,1707,78,Full bloom (historic lilac/western honeysuckle),4/05/2008,125
50,40.459999,-124.190002,638,CA,36,Syringa,vulgaris,common lilac,1707,79,End bloom (historic lilac/eastern honeysuckle),23/05/2008,144
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,78,Full bloom (historic lilac/western honeysuckle),30/05/1957,150
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,78,Full bloom (historic lilac/western honeysuckle),19/05/1958,139
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,78,Full bloom (historic lilac/western honeysuckle),20/05/1959,140
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,78,Full bloom (historic lilac/western honeysuckle),14/05/1960,135
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,78,Full bloom (historic lilac/western honeysuckle),21/05/1961,141
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,78,Full bloom (historic lilac/western honeysuckle),8/05/1962,128
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,78,Full bloom (historic lilac/western honeysuckle),14/05/1965,134
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,78,Full bloom (historic lilac/western honeysuckle),21/05/1968,142
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,78,Full bloom (historic lilac/western honeysuckle),16/05/1969,136
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,78,Full bloom (historic lilac/western honeysuckle),20/05/1971,140
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,78,Full bloom (historic lilac/western honeysuckle),20/05/1973,140
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,79,End bloom (historic lilac/eastern honeysuckle),8/06/1957,159
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,79,End bloom (historic lilac/eastern honeysuckle),28/05/1958,148
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,79,End bloom (historic lilac/eastern honeysuckle),28/05/1959,148
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,79,End bloom (historic lilac/eastern honeysuckle),22/05/1960,143
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,79,End bloom (historic lilac/eastern honeysuckle),30/05/1961,150
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,79,End bloom (historic lilac/eastern honeysuckle),15/05/1962,135
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,79,End bloom (historic lilac/eastern honeysuckle),24/05/1965,144
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,79,End bloom (historic lilac/eastern honeysuckle),3/06/1968,155
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,79,End bloom (historic lilac/eastern honeysuckle),26/05/1969,146
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,79,End bloom (historic lilac/eastern honeysuckle),30/05/1971,150
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,79,End bloom (historic lilac/eastern honeysuckle),28/05/1973,148
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,412,First bloom (historic western lilac),22/05/1957,142
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,412,First bloom (historic western lilac),15/05/1958,135
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,412,First bloom (historic western lilac),1/05/1959,121
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,412,First bloom (historic western lilac),23/04/1960,114
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,412,First bloom (historic western lilac),10/05/1961,130
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,412,First bloom (historic western lilac),27/04/1962,117
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,412,First bloom (historic western lilac),20/04/1963,110
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,412,First bloom (historic western lilac),5/05/1965,125
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,412,First bloom (historic western lilac),18/04/1967,108
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,412,First bloom (historic western lilac),4/05/1968,125
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,412,First bloom (historic western lilac),5/05/1969,125
59,38.699001,-103.4216,1515,CO,36,Syringa,vulgaris,common lilac,54427,412,First bloom (historic western lilac),15/05/1973,135
62,38.38916,-108.950043,1657,CO,36,Syringa,vulgaris,common lilac,1603,77,First bloom (historic eastern lilac),12/05/2008,133
62,38.38916,-108.950043,1657,CO,36,Syringa,vulgaris,common lilac,1603,78,Full bloom (historic lilac/western honeysuckle),17/05/2008,138
62,38.38916,-108.950043,1657,CO,36,Syringa,vulgaris,common lilac,1603,79,End bloom (historic lilac/eastern honeysuckle),24/05/2008,145
63,40.965267,-105.218773,2136,CO,36,Syringa,vulgaris,common lilac,2955,77,First bloom (historic eastern lilac),19/05/2007,139
63,40.965267,-105.218773,2136,CO,36,Syringa,vulgaris,common lilac,2955,77,First bloom (historic eastern lilac),4/06/2008,156
63,40.965267,-105.218773,2136,CO,36,Syringa,vulgaris,common lilac,2955,78,Full bloom (historic lilac/western honeysuckle),24/05/2007,144
63,40.965267,-105.218773,2136,CO,36,Syringa,vulgaris,common lilac,2955,78,Full bloom (historic lilac/western honeysuckle),11/06/2008,163
63,40.965267,-105.218773,2136,CO,36,Syringa,vulgaris,common lilac,2955,79,End bloom (historic lilac/eastern honeysuckle),8/06/2007,159
63,40.965267,-105.218773,2136,CO,36,Syringa,vulgaris,common lilac,2955,79,End bloom (historic lilac/eastern honeysuckle),19/06/2008,171
65,41.972836,-73.220451,400,CT,35,Syringa,chinensis,Red Rothomagensis lilac,3906,77,First bloom (historic eastern lilac),21/05/1967,141
65,41.972836,-73.220451,400,CT,35,Syringa,chinensis,Red Rothomagensis lilac,3906,77,First bloom (historic eastern lilac),21/05/1969,141
65,41.972836,-73.220451,400,CT,35,Syringa,chinensis,Red Rothomagensis lilac,3906,77,First bloom (historic eastern lilac),22/05/1970,142
65,41.972836,-73.220451,400,CT,35,Syringa,chinensis,Red Rothomagensis lilac,3906,77,First bloom (historic eastern lilac),2/06/1971,153
65,41.972836,-73.220451,400,CT,35,Syringa,chinensis,Red Rothomagensis lilac,3906,77,First bloom (historic eastern lilac),26/05/1972,147
65,41.972836,-73.220451,400,CT,35,Syringa,chinensis,Red Rothomagensis lilac,3906,77,First bloom (historic eastern lilac),24/05/1973,144
65,41.972836,-73.220451,400,CT,35,Syringa,chinensis,Red Rothomagensis lilac,3906,77,First bloom (historic eastern lilac),21/05/1974,141
65,41.972836,-73.220451,400,CT,35,Syringa,chinensis,Red Rothomagensis lilac,3906,77,First bloom (historic eastern lilac),23/05/1975,143
65,41.972836,-73.220451,400,CT,35,Syringa,chinensis,Red Rothomagensis lilac,3906,77,First bloom (historic eastern lilac),14/05/1976,135
65,41.972836,-73.220451,400,CT,35,Syringa,chinensis,Red Rothomagensis lilac,3906,77,First bloom (historic eastern lilac),17/05/1977,137
65,41.972836,-73.220451,400,CT,35,Syringa,chinensis,Red Rothomagensis lilac,3906,77,First bloom (historic eastern lilac),30/05/1978,150
65,41.972836,-73.220451,400,CT,35,Syringa,chinensis,Red Rothomagensis lilac,3906,77,First bloom (historic eastern lilac),16/05/1979,136
65,41.972836,-73.220451,400,CT,35,Syringa,chinensis,Red Rothomagensis lilac,3906,77,First bloom (historic eastern lilac),21/05/1980,142
65,41.972836,-73.220451,400,CT,35,Syringa,chinensis,Red Rothomagensis lilac,3906,77,First bloom (historic eastern lilac),20/05/1981,140
65,41.972836,-73.220451,400,CT,35,Syringa,chinensis,Red Rothomagensis lilac,3906,77,First bloom (historic eastern lilac),19/05/1982,139
65,41.972836,-73.220451,400,CT,35,Syringa,chinensis,Red Rothomagensis lilac,3906,77,First bloom (historic eastern lilac),25/05/1983,145
65,41.972836,-73.220451,400,CT,35,Syringa,chinensis,Red Rothomagensis lilac,3906,77,First bloom (historic eastern lilac),27/05/1984,148
