"","species","doy","year","source","photoperiod_sensitive"
"1","Viola_odorata",77,1950,"uknc",TRUE
"2","Ilex_aquifolium",153,1951,"uknc",FALSE
"3","Digitalis_purpurea",153,1951,"uknc",TRUE
"4","Lactuca_serriola",202,1951,"uknc",TRUE
"5","Rumex_acetosella",116.6803279,1952,"uknc",TRUE
"6","Trifolium_repens",139.6174863,1952,"uknc",TRUE
"7","Ulmus_glabra",81.77595628,1952,"uknc",TRUE
"8","Plantago_lanceolata",107.704918,1952,"uknc",TRUE
"9","Calluna_vulgaris",184.4945355,1952,"uknc",TRUE
"10","Trifolium_pratense",130.6420765,1952,"uknc",TRUE
"11","Sonchus_oleraceus",135.6284153,1952,"uknc",TRUE
"12","Digitalis_purpurea",154.5765027,1952,"uknc",TRUE
"13","Geum_urbanum",151.5846995,1952,"uknc",FALSE
"14","Rubus_idaeus",132.636612,1952,"uknc",TRUE
"15","Lactuca_serriola",216.4071038,1952,"uknc",TRUE
"16","Syringa_vulgaris",134.6311475,1952,"uknc",FALSE
"17","Syringa_vulgaris",123,1953,"uknc",FALSE
"18","Chenopodium_album",125,1953,"uknc",TRUE
"19","Briza_media",130,1953,"uknc",FALSE
"20","Ulmus_glabra",78,1953,"uknc",TRUE
"21","Plantago_lanceolata",90,1953,"uknc",TRUE
"22","Alopecurus_pratensis",124,1953,"uknc",TRUE
"23","Silene_dioica",136,1953,"uknc",FALSE
"24","Trifolium_pratense",129,1953,"uknc",TRUE
"25","Anagallis_arvensis",172,1953,"uknc",TRUE
"26","Rumex_acetosella",115,1953,"uknc",TRUE
"27","Trifolium_repens",141,1953,"uknc",TRUE
"28","Lactuca_serriola",232,1953,"uknc",TRUE
"29","Sonchus_oleraceus",134,1953,"uknc",TRUE
"30","Digitalis_purpurea",164,1953,"uknc",TRUE
"31","Cynosurus_cristatus",146,1953,"uknc",FALSE
"32","Pastinaca_sativa",206,1953,"uknc",FALSE
"33","Briza_media",156,1954,"uknc",FALSE
"34","Rumex_acetosella",116,1954,"uknc",TRUE
"35","Trifolium_repens",155,1954,"uknc",TRUE
"36","Cichorium_intybus",204,1954,"uknc",TRUE
"37","Aster_novi-belgii",251,1954,"uknc",TRUE
"38","Ribes_rubrum",109,1954,"uknc",TRUE
"39","Phleum_pratense",179,1954,"uknc",TRUE
"40","Lunaria_annua",120,1954,"uknc",TRUE
"41","Solidago_canadensis",227,1954,"uknc",TRUE
"42","Pastinaca_sativa",174,1954,"uknc",FALSE
"43","Silene_dioica",129,1954,"uknc",FALSE
"44","Avena_sativa",180,1954,"uknc",TRUE
"45","Epilobium_parviflorum",194,1954,"uknc",TRUE
"46","Rubus_idaeus",167,1954,"uknc",TRUE
"47","Deschampsia_cespitosa",167,1954,"uknc",TRUE
"48","Ribes_nigrum",120,1954,"uknc",TRUE
"49","Alopecurus_pratensis",128,1954,"uknc",TRUE
"50","Ilex_aquifolium",153,1955,"uknc",FALSE
"51","Cichorium_intybus",197,1955,"uknc",TRUE
"52","Rumex_acetosella",127,1955,"uknc",TRUE
"53","Aster_novi-belgii",215,1955,"uknc",TRUE
"54","Alopecurus_pratensis",122,1955,"uknc",TRUE
"55","Ribes_rubrum",113,1955,"uknc",TRUE
"56","Lactuca_serriola",200,1955,"uknc",TRUE
"57","Brachypodium_pinnatum",171,1955,"uknc",FALSE
"58","Digitalis_purpurea",156,1955,"uknc",TRUE
"59","Silene_latifolia",130,1955,"uknc",TRUE
"60","Solidago_canadensis",223,1955,"uknc",TRUE
"61","Poa_pratensis",110,1955,"uknc",TRUE
"62","Sinapis_alba",148,1955,"uknc",TRUE
"63","Arctium_lappa",202,1955,"uknc",TRUE
"64","Arrhenatherum_elatius",148,1955,"uknc",FALSE
